english,transliteration,arabic,audioUrl,source
snake,ɧáyyi (ɧayēya),حيِّة (حَيايا),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-57.mp3,animals_2
snake,ta3bān (ta3ābīn),تعْبان (تعابين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-58.mp3,animals_2
"turtle, tortoise",zílɧafi (zalēɧif),زِلْحفِة (زلاحِف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-59.mp3,animals_2
frog,ɖífɖa3 (ɖafāɖi3),ضِفْضع (ضفاضِع),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-60.mp3,animals_2
fish,sámak,سمك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-61.mp3,animals_2
shark,ʔíriš,قِرِش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-62.mp3,animals_2
jellyfish,ʔindīl báɧir,قِنْديل بحِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-63.mp3,animals_2
"insect, bug",ɧášara,حشرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-64.mp3,animals_2
ants,námil,نمِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-65.mp3,animals_2
bees,náɧil,نحِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-66.mp3,animals_2
A bee stung me.,náɧli ʔarʂítni.,نحْلِة قرْصِتْني.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-67.mp3,animals_2
bee-sting,ʔárʂit náɧli,قرْصِة نحْلِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-68.mp3,animals_2
beehive,xálíyyit náɧil,خلية نحِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-69.mp3,animals_2
beetle,xúnfusi (xanēfis),خُنْفُسِة (خنافِس),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-70.mp3,animals_2
butterfly,farāši,فراشِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-71.mp3,animals_2
cockroach; cricket,ʂarʂūr (ʂarāʂīr),صرْصور (صراصير),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-72.mp3,animals_2
flea,barɣūt (barāɣīt),برْغوت (براغيت),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-73.mp3,animals_2
flies,dibbēn,دِبّان,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-74.mp3,animals_2
"grasshopper, locust",jarād,جراد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-75.mp3,animals_2
lice,ʔámil,قمِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-76.mp3,animals_2
The child has head lice.,lwálad mʔámmal.,الوَلد مْقمّل.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-77.mp3,animals_2
mosquito,báriɣši (bárɣaš),برِغْشِة (برْغش),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-78.mp3,animals_2
mosquito bite,ʔárʂit bárɣaš,قرْصِة برْغش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-79.mp3,animals_2
A mosquito bit me.,ʔárʂitni báriɣši.,قرْصِتْني برِغْشِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-80.mp3,animals_2
moth,3íti,عِتِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-81.mp3,animals_2
scorpion,3áʔrab (3aʔārib),عقْرب (عقارِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-82.mp3,animals_2
snail,ɧalazōn,حلزوْن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-83.mp3,animals_2
spider,3ankabūt (3anēkib),عنْكبوت (عناكِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-84.mp3,animals_2
spider web,šábakit 3ankabūt,شبكِة عنْكبوت,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-85.mp3,animals_2
I’m afraid of spiders.,ána bxāf min il3anēkib.,أنا بْخاف مِن العناكِب.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-86.mp3,animals_2
wasp,dabbūr (dabābīr),دبّور (دبابير),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-87.mp3,animals_2
worm,dūd,دود,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-88.mp3,animals_2
"beak, bill",minʔār (manāʔīr),مِنْقار (مناقير),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-89.mp3,animals_2
"claw, talon",máxlab (maxālib),مخْلب (مخالِب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-90.mp3,animals_2
feathers,rīš,ريش,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-91.mp3,animals_2
fur,fáru,فرو,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-92.mp3,animals_2
"horn, antler",ʔárin (ʔrūn),قرِن (قْرون),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-93.mp3,animals_2
"feeler, antenna",ʔárin ilɧášra,قرِن الحشْرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-94.mp3,animals_2
"paw, leg",ríjil (rijlēn),رِجِل (رِجْليْن),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-95.mp3,animals_2
tail,dánab (dnēb),دنب (دْناب),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-96.mp3,animals_2
"udder, teats",ɖrū3,ضْروع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-97.mp3,animals_2
wing,jnēɧ (ájniɧa),جْناح (أجْنِحة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav43-98.mp3,animals_2
transportation,muwāʂalēt [pl.],مُواصلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-1.mp3,cars_and_other_transportation_2
means of transportation,wasēʔil ilmuwāʂalēt [pl.],وسائِل المْواصلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-2.mp3,cars_and_other_transportation_2
to take the bus,ʈúli3 [55] b-ilbāʂ,طُلِع بالباص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-3.mp3,cars_and_other_transportation_2
"to get on, get in, take (a bus, taxi, etc.)","ríkib, yírkab",رِكِب، يِرْكب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-4.mp3,cars_and_other_transportation_2
"to get off, get out of",nízil [55] min,نزِل مِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-5.mp3,cars_and_other_transportation_2
freight; truck,šáɧin,شحِن,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-6.mp3,cars_and_other_transportation_2
"transportation, shipping",náʔil,نقِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-7.mp3,cars_and_other_transportation_2
pick-up truck,pik-ap,بيك أب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-8.mp3,cars_and_other_transportation_2
ship,safīni,سفينِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-9.mp3,cars_and_other_transportation_2
boat,šaxʈūra,شخْطورة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-10.mp3,cars_and_other_transportation_2
bus,bāʂ,باص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-11.mp3,cars_and_other_transportation_2
I usually go to work by bus.,b-il3ādi brūɧ 3a-ššíɣil b-ilbāʂ.,بِالعادِة بْروح علشِّغِل بِالباص.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-12.mp3,cars_and_other_transportation_2
to miss the bus,"fáwwat ilbāʂ, yfáwwit ilbāʂ",فوّت الباص، يْفوِّت الباص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-13.mp3,cars_and_other_transportation_2
bus stop,máwʔif bāʂ (mawēʔif bāʂāt),مَوْقِف باص (مَواقِف باصات),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-15.mp3,cars_and_other_transportation_2
bus driver,šōfør bāʂ,شوْفور باص,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-16.mp3,cars_and_other_transportation_2
"metro, subway (UK: underground)",métrō,مِتْروْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-17.mp3,cars_and_other_transportation_2
I take the metro every day.,ána búʈla3 b-ilmétrō kill yōm.,أنا بُطْلع بِالمِتْروْ كِلّ يوْم.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-18.mp3,cars_and_other_transportation_2
subway station,mɧaʈʈit ilmétrō,محطِّة مِتْروْ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-19.mp3,cars_and_other_transportation_2
taxi,tēksi,تاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-20.mp3,cars_and_other_transportation_2
We took a taxi downtown.,axádna tēksi 3a-lbálad.,أخدْنا تاكْسي عالبلد.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-21.mp3,cars_and_other_transportation_2
taxi driver,šōfør tēksi,شوفور تاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-23.mp3,cars_and_other_transportation_2
to hail a taxi,"áššar la-tāksī, yʔaššir la-tēksi",أشّر لتاكْسي، يْأشِّر لتاكْسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-24.mp3,cars_and_other_transportation_2
taxi meter,3iddād tēksi,عِدّاد تاكسي,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-26.mp3,cars_and_other_transportation_2
to negotiate the fare,"sēwim 3a-ssí3ir, ysēwim 3a-ssí3ir",ساوِم عالسِّعِر، يْساوِم عالسِّعِرحرّج عالسِّعِر، يْحرِّج عالسِّعِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-27.mp3,cars_and_other_transportation_2
left,yasār,يَسار,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-28.mp3,cars_and_other_transportation_2
Turn left!,xūd yasārak!,خود يَسارك!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-29.mp3,cars_and_other_transportation_2
right,yamīn,يَمين,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-30.mp3,cars_and_other_transportation_2
Turn right!,xūd yamīnak!,خود يَمينك!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-31.mp3,cars_and_other_transportation_2
straight,ʔiddēmak,قِدّامك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-32.mp3,cars_and_other_transportation_2
straight,b-iwíššak,بْوِشّك,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-33.mp3,cars_and_other_transportation_2
Go straight!,kámmil xaʈʈ mustaʔīm!,كمِّل خطّ مُسْتقيم!,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-34.mp3,cars_and_other_transportation_2
bicycle,bisiklētt,بِسِكْلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-35.mp3,cars_and_other_transportation_2
to ride a bicycle,ríkib bisiklētt,رِكِب بِسِكْلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-36.mp3,cars_and_other_transportation_2
cyclist,yálli bsūʔ bisiklētt,يَلّي بيسوق بِسِكْلات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-37.mp3,cars_and_other_transportation_2
"bicycle lane, bike path",mamárr bisiklēttēt,ممرّ بِسِكْلاتات,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-38.mp3,cars_and_other_transportation_2
pedal,dá3si,دعْسِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-39.mp3,cars_and_other_transportation_2
chain,janzīr (janazīr),جنْزير (جْنازير),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-40.mp3,cars_and_other_transportation_2
bike seat,kirēji,كِريْجِة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-41.mp3,cars_and_other_transportation_2
motorcycle,mōtōr,موْتوْر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-42.mp3,cars_and_other_transportation_2
helmet,xūzi (xúwaz),خوذِة (خُوذ),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-43.mp3,cars_and_other_transportation_2
car,sayyāra,سيّارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-45.mp3,cars_and_other_transportation_2
"to drive, steer","sāʔ, ysūʔ",ساق، يْسوق,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-46.mp3,cars_and_other_transportation_2
driver,šōfør,شوفور,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-47.mp3,cars_and_other_transportation_2
passenger,msāfir,مْسافِر,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-48.mp3,cars_and_other_transportation_2
driver’s license,ríxʂit swēʔa (ríxaʂ swēʔa),رِخْصِة سْواقة (رِخص سْواقة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-49.mp3,cars_and_other_transportation_2
traffic jam,3ájʔa,عجْأة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-51.mp3,cars_and_other_transportation_2
stuck in traffic,3ilʔān b-il3ájʔa,عِلْقان بِالعجْأة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-52.mp3,cars_and_other_transportation_2
The traffic is horrible right now!,ʈʈarīʔ 3ájʔa ktīr hállaʔ.,الطّريق عجْأة كْتير هلّق.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-53.mp3,cars_and_other_transportation_2
rush hour,wáʔit il3ájʔa,وقِت العجْأة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-54.mp3,cars_and_other_transportation_2
Let’s not go downtown right now. It’s rush hour.,"bála mā nínzal 3a-lbálad hállaʔ, wáʔit 3ájʔa.",بلا ما نِنْزل عالبلد هلّق، وقِت عجْأة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-55.mp3,cars_and_other_transportation_2
"to pass, overtake","djēwaz, yidjēwaz",تْجاوز، يِتْجاوز,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-56.mp3,cars_and_other_transportation_2
"to pass, overtake","dáwbal, yidáwbil",دوْبل، يِدوْبِل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-57.mp3,cars_and_other_transportation_2
to stop,"wíʔif, yūʔaf",وِقِف، يوقف,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-58.mp3,cars_and_other_transportation_2
to yield to,"wássa3 la-, ywássi3 la-",وَسّع لـ، يْوَسِّع لـ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-59.mp3,cars_and_other_transportation_2
to have the right of way,ílu lʔāwlawíyyi,اِلو الاوْلوية,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-60.mp3,cars_and_other_transportation_2
pedestrians,mušēt [pl.],مُشاة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-61.mp3,cars_and_other_transportation_2
sidewalk (UK: pavement),raʂīf (árʂifi),رصيف (أرْصِفِة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-62.mp3,cars_and_other_transportation_2
"cross walk, pedestrian crossing (UK: zebra crossing)",xuʈūʈ mušēt,خُطوط مُشاة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-63.mp3,cars_and_other_transportation_2
to cross the street,"ʔáʈa3 iššēri3, yíʔʈa3 iššēri3",قطع الشّارِع، يِقْطع الشّارِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-64.mp3,cars_and_other_transportation_2
traffic light,išārit murūr,إشارِة مُرور,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-65.mp3,cars_and_other_transportation_2
green light,išāra xáɖra,إشارة خضْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-66.mp3,cars_and_other_transportation_2
red light,išāra ɧámra,إشارة حمْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-67.mp3,cars_and_other_transportation_2
yellow light,išāra ʂáfra,إشارة صفْرا,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-68.mp3,cars_and_other_transportation_2
to run a red light,ʔáʈʈa3 [7] ilʔišāra,قطّع الإشارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-69.mp3,cars_and_other_transportation_2
to park,"ʂaff, yʂuff",صفّ، يْصُفّ,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-70.mp3,cars_and_other_transportation_2
parking lot,máwʔif (mawēʔif),موْقِف (مواقِف),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-72.mp3,cars_and_other_transportation_2
parking garage,karāj,كراج,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-74.mp3,cars_and_other_transportation_2
to park on the street,ʂaff b-iššēri3,صفّ بِالشّارِع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-75.mp3,cars_and_other_transportation_2
lane,zārūb,زاروب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-76.mp3,cars_and_other_transportation_2
to change lanes,ɣáyyar [55] izzārūb,غيّر الزّاروب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-77.mp3,cars_and_other_transportation_2
a four-lane road,ʈarīʔ árba3 xʈūʈ,طريق ارْبع خْطوط,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-78.mp3,cars_and_other_transportation_2
intersection,taʔāʈu3,تقاطُع,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-79.mp3,cars_and_other_transportation_2
round-about,mēdēn (mayadīn),ميْدان (مَيادين),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-80.mp3,cars_and_other_transportation_2
"highway, expressway (UK: motorway)",ōtōstrād,أوْتوْسْتْراد,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-81.mp3,cars_and_other_transportation_2
"bridge, overpass",jísir (jsūra),جِسِر (جْسورة),http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-82.mp3,cars_and_other_transportation_2
speed limit,ɧdūd issír3a,حْدود السِّرْعة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-83.mp3,cars_and_other_transportation_2
license plate (UK: number plate),ármit innúmra,أرْمِة النُّمْرة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-84.mp3,cars_and_other_transportation_2
car insurance,taʔmīn issayyāra,تأْمين سيّارة,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-85.mp3,cars_and_other_transportation_2
to pick up,"rákkab, yrákkib",ركّب، يْركِّب,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-86.mp3,cars_and_other_transportation_2
to drop off,"názzal, ynázzil",نزّل، يْنزِّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-87.mp3,cars_and_other_transportation_2
You can just drop me off on the corner.,fīk tnazzílni 3ind izzēwyi.,فيك تْنزِّلْني عِنْد الزّاوْيِة.,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-88.mp3,cars_and_other_transportation_2
"to give a lift to, take","wáʂʂal, ywáʂʂil",وَصّل، يْوَصِّل,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-89.mp3,cars_and_other_transportation_2
Can you give me a ride home?,fīk twaʂʂílni 3a-lbēt?,فيك تْوَصِّلْني عالبيْت؟,http://media.lingualism.com/wp-content/uploads/vocab/lcav/lcav13-90.mp3,cars_and_other_transportation_2
